22,Washington Wizards,25-47,16-20,9-27,18-27,7-20,8-7,5-11,5-9,3-7,2-7,2-6,20-33,5-14,1-4,12-25,1-3,5-8,4-11,6-9,5-6,3-3,0-1,1-6
23,Charlotte Hornets,23-42,10-21,13-21,16-24,7-18,5-9,9-8,2-7,1-7,4-4,2-7,18-36,5-6,9-8,5-25,2-3,6-10,5-10,3-9,5-6,2-4,,
24,Chicago Bulls,22-43,14-20,8-23,15-28,7-15,1-12,7-9,7-7,1-6,2-5,4-4,19-36,3-7,6-6,7-19,1-4,5-10,7-7,6-11,1-8,2-3,,
25,New York Knicks,21-45,11-22,10-23,15-28,6-17,2-11,8-8,5-9,1-6,2-6,3-5,17-38,4-7,7-6,8-21,1-4,3-11,5-9,4-12,5-6,3-3,,
26,Atlanta Hawks,20-47,14-20,6-27,11-32,9-15,3-13,2-12,6-7,3-5,3-5,3-5,15-41,5-6,1-5,8-29,2-3,2-13,3-11,6-9,6-7,1-4,,
27,Detroit Pistons,20-46,11-22,9-24,12-31,8-15,3-11,5-10,4-10,1-7,4-3,3-5,19-38,1-8,4-6,9-26,2-3,4-10,6-9,5-11,3-8,0-5,,
28,Cleveland Cavaliers,19-46,11-25,8-21,12-32,7-14,2-14,4-10,6-8,4-4,0-4,3-6,14-40,5-6,5-5,6-28,2-2,3-12,5-9,3-13,4-7,2-3,,
29,Minnesota Timberwolves,19-45,8-24,11-21,10-15,9-30,2-4,3-6,5-5,2-10,4-8,3-12,16-37,3-8,3-4,10-21,3-1,7-7,2-12,3-12,2-9,2-4,,
30,Golden State Warriors,15-50,8-26,7-24,6-16,9-34,1-6,3-3,2-7,3-12,2-11,4-11,12-43,3-7,1-3,8-30,1-3,3-13,5-10,1-13,3-8,2-3,,Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,MOV_under_3,MOV_over_10,Dec,Jan,Feb,Mar,Apr,May
1,Utah Jazz,52-20,31-5,21-15,24-6,28-14,7-3,10-0,7-3,7-5,8-7,13-2,27-9,25-11,3-2,39-7,2-2,13-3,12-2,9-4,9-7,7-2
2,Phoenix Suns,51-21,27-9,24-12,21-9,30-12,7-3,8-2,6-4,11-4,7-5,12-3,24-11,27-10,9-3,23-8,4-1,6-7,12-3,11-3,12-4,6-3
3,Philadelphia 76ers,49-23,29-7,20-16,31-11,18-12,10-2,8-7,13-2,5-5,6-4,7-3,24-12,25-11,7-3,27-12,4-1,11-5,7-6,10-3,10-6,7-2
4,Brooklyn Nets,48-24,28-8,20-16,26-16,22-8,8-4,9-6,9-6,7-3,9-1,6-4,24-13,24-11,3-5,24-11,3-2,10-7,9-4,11-2,10-6,5-3
5,Denver Nuggets,47-25,25-11,22-14,21-9,26-16,5-5,9-1,7-3,9-3,6-9,11-4,21-15,26-10,6-4,29-11,1-3,11-5,6-7,11-3,13-3,5-4
6,Los Angeles Clippers,47-25,26-10,21-15,20-10,27-15,4-6,9-1,7-3,10-5,9-3,8-7,24-14,23-11,3-4,31-7,4-1,12-4,8-7,8-5,11-4,4-4
7,Milwaukee Bucks,46-26,26-10,20-16,30-12,16-14,8-7,11-1,11-4,6-4,5-5,5-5,22-14,24-12,6-5,29-12,2-3,9-5,10-5,9-4,9-7,7-2
8,Dallas Mavericks,42-30,21-15,21-15,21-9,21-21,6-4,6-4,9-1,8-7,6-9,7-5,18-16,24-14,5-4,26-17,1-3,7-9,8-4,9-5,10-6,7-3
9,Los Angeles Lakers,42-30,21-15,21-15,17-13,25-17,4-6,8-2,5-5,10-5,4-8,11-4,24-13,18-17,7-5,22-13,3-2,12-4,9-5,6-7,6-9,6-3
10,Portland Trail Blazers,42-30,20-16,22-14,19-11,23-19,7-3,6-4,6-4,6-6,7-8,10-5,21-14,21-16,10-9,19-12,2-2,8-6,8-6,11-4,6-10,7-2
11,Atlanta Hawks,41-31,25-11,16-20,24-18,17-13,7-8,8-7,9-3,5-5,6-4,6-4,16-20,25-11,3-3,25-15,3-1,7-8,4-11,9-4,11-6,7-1
12,New York Knicks,41-31,25-11,16-20,25-17,16-14,4-8,11-4,10-5,4-6,4-6,8-2,19-18,22-13,2-9,24-15,2-3,7-9,9-5,6-7,11-4,6-3
13,Miami Heat,40-32,21-15,19-17,24-18,16-14,9-6,9-6,6-6,5-5,5-5,6-4,18-18,22-14,4-5,17-17,2-2,5-10,10-5,7-7,9-6,7-2
14,Golden State Warriors,39-33,25-11,14-22,14-16,25-17,3-7,8-2,3-7,10-5,5-7,10-5,19-18,20-15,6-4,25-18,2-2,9-7,8-7,4-8,8-8,8-1
15,Memphis Grizzlies,38-34,18-18,20-16,19-11,19-23,6-4,5-5,8-2,7-8,6-9,6-6,16-16,22-18,3-7,23-21,1-3,7-3,7-9,7-8,10-7,6-4
16,Boston Celtics,36-36,21-15,15-21,20-22,16-14,4-8,7-8,9-6,6-4,6-4,4-6,19-17,17-19,7-5,17-12,3-2,7-6,7-9,6-8,11-5,2-6
17,Washington Wizards,34-38,19-17,15-21,16-26,18-12,4-11,9-6,3-9,9-1,7-3,2-8,14-20,20-18,11-8,14-20,0-5,4-7,9-7,4-10,12-5,5-4
18,Indiana Pacers,34-38,13-23,21-15,20-22,14-16,5-10,7-5,8-7,5-5,2-8,7-3,16-19,18-19,5-4,15-17,4-1,7-8,4-8,6-8,8-8,5-5
19,Charlotte Hornets,33-39,18-18,15-21,20-22,13-17,4-11,8-7,8-4,4-6,4-6,5-5,17-18,16-21,9-4,14-24,2-2,7-9,7-6,8-5,6-10,3-7
20,San Antonio Spurs,33-39,14-22,19-17,16-14,17-25,3-7,7-3,6-4,5-10,6-9,6-6,18-14,15-25,7-8,18-20,2-2,9-7,6-3,7-9,7-10,2-8
21,Chicago Bulls,31-41,15-21,16-20,21-21,10-20,7-8,7-5,7-8,3-7,1-9,6-4,16-18,15-23,3-5,16-20,2-3,5-8,8-6,4-10,7-10,5-4
22,New Orleans Pelicans,31-41,18-18,13-23,13-17,18-24,5-5,5-5,3-7,5-10,7-8,6-6,15-21,16-20,3-10,13-21,3-2,4-9,7-8,7-6,7-10,3-6
23,Sacramento Kings,31-41,16-20,15-21,13-17,18-24,4-6,6-4,3-7,7-8,5-7,6-9,14-22,17-19,10-5,12-22,3-2,5-9,5-10,9-5,4-11,5-4
24,Toronto Raptors,27-45,16-20,11-25,17-25,10-20,4-8,5-10,8-7,3-7,3-7,4-6,17-19,10-26,3-6,17-19,1-3,7-9,9-5,1-13,8-7,1-8
25,Minnesota Timberwolves,23-49,13-23,10-26,8-22,15-27,2-8,4-6,2-8,5-7,4-11,6-9,7-29,16-20,4-6,9-25,2-2,3-12,2-14,5-8,8-8,3-5
26,Cleveland Cavaliers,22-50,13-23,9-27,16-26,6-24,8-7,4-8,4-11,2-8,0-10,4-6,14-22,8-28,4-2,11-37,3-2,6-9,4-10,4-9,4-12,1-8
27,Oklahoma City Thunder,22-50,10-26,12-24,10-20,12-30,4-6,3-7,3-7,3-9,2-13,7-8,15-21,7-29,7-5,5-36,1-3,7-7,6-10,6-7,1-15,1-8
28,Orlando Magic,21-51,11-25,10-26,13-29,8-22,2-13,7-8,4-8,2-8,4-6,2-8,13-23,8-28,3-5,6-35,4-1,4-12,5-8,3-10,3-13,2-7
29,Detroit Pistons,20-52,13-23,7-29,12-30,8-22,7-8,1-11,4-11,2-8,3-7,3-7,10-26,10-26,1-8,14-31,0-4,5-11,4-10,4-9,6-10,1-8
30,Houston Rockets,17-55,9-27,8-28,6-24,11-31,1-9,2-8,3-7,3-12,3-12,5-7,11-23,6-32,3-4,8-37,1-2,8-7,2-12,2-13,3-13,1-8
Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,MOV_under_3,MOV_over_10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Phoenix Suns,64-18,32-9,32-9,25-5,39-13,8-2,9-1,8-2,14-4,10-6,15-3,48-10,16-8,6-2,37-9,2-3,16-0,9-5,13-1,9-3,13-2,2-4
2,Memphis Grizzlies,56-26,30-11,26-15,20-10,36-16,6-4,9-1,5-5,10-8,15-3,11-5,41-19,15-7,5-3,33-17,3-3,8-7,12-4,12-4,8-2,11-3,2-3
3,Golden State Warriors,53-29,31-10,22-19,20-10,33-19,6-4,8-2,6-4,12-6,12-4,9-9,42-17,11-12,6-5,34-10,5-1,13-2,9-4,11-6,5-5,5-11,5-0
4,Miami Heat,53-29,29-12,24-17,35-17,18-12,10-8,12-6,13-3,6-4,4-6,8-2,38-21,15-8,3-6,31-15,5-1,8-7,10-5,9-6,9-2,8-7,4-1
5,Dallas Mavericks,52-30,29-12,23-18,16-14,36-16,6-4,6-4,4-6,12-6,10-8,14-2,35-24,17-6,7-5,27-14,4-2,6-7,7-9,12-4,7-3,12-4,4-1
6,Boston Celtics,51-31,28-13,23-18,33-19,18-12,9-7,12-6,12-6,7-3,5-5,6-4,34-26,17-5,3-9,35-9,2-4,9-6,6-9,10-6,9-2,11-3,4-1
7,Milwaukee Bucks,51-31,27-14,24-17,33-19,18-12,10-8,12-4,11-7,5-5,7-3,6-4,36-24,15-7,4-2,31-15,3-4,10-4,11-5,7-8,6-4,11-3,3-3
8,Philadelphia 76ers,51-31,24-17,27-14,32-20,19-11,6-10,14-4,12-6,5-5,6-4,8-2,35-23,16-8,6-6,28-11,4-2,7-8,8-6,12-3,6-4,9-7,5-1
9,Utah Jazz,49-33,29-12,20-21,16-14,33-19,7-3,4-6,5-5,15-1,9-9,9-9,36-22,13-11,1-6,34-10,5-1,9-6,12-2,4-12,8-1,8-9,3-2
10,Denver Nuggets,48-34,23-18,25-16,19-11,29-23,6-4,5-5,8-2,6-10,13-5,10-8,33-25,15-9,8-3,23-20,4-2,6-8,7-6,11-5,8-4,10-6,2-3
11,Toronto Raptors,48-34,24-17,24-17,30-22,18-12,10-6,8-10,12-6,5-5,7-3,6-4,32-25,16-9,7-6,25-14,4-3,5-10,6-4,10-6,8-4,11-5,4-2
12,Chicago Bulls,46-36,27-14,19-22,29-23,17-13,8-10,10-6,11-7,8-2,5-5,4-6,38-21,8-15,4-4,23-20,5-1,9-7,9-2,8-8,8-5,6-9,1-4
13,Minnesota Timberwolves,46-36,26-15,20-21,14-16,32-20,4-6,7-3,3-7,12-4,8-10,12-6,31-28,15-8,4-4,28-21,3-2,8-8,5-9,9-6,8-4,10-5,3-2
14,Brooklyn Nets,44-38,20-21,24-17,31-21,13-17,10-6,12-6,9-9,4-6,3-7,6-4,31-28,13-10,8-4,20-20,4-3,11-3,8-4,6-10,3-10,8-7,4-1
15,Cleveland Cavaliers,44-38,25-16,19-22,27-25,17-13,8-10,10-6,9-9,8-2,4-6,5-5,35-23,9-15,10-4,22-19,3-4,8-6,9-6,11-4,5-5,6-10,2-3
16,Atlanta Hawks,43-39,27-14,16-25,26-26,17-13,6-12,11-7,9-7,5-5,6-4,6-4,28-30,15-9,7-3,24-18,3-3,8-7,5-9,8-7,5-5,11-6,3-2
17,Charlotte Hornets,43-39,22-19,21-20,27-25,16-14,8-10,11-7,8-8,6-4,3-7,7-3,29-31,14-8,6-8,24-23,5-2,8-8,6-7,9-6,2-10,10-4,3-2
18,Los Angeles Clippers,42-40,25-16,17-24,16-14,26-26,4-6,4-6,8-2,10-8,9-7,7-11,30-31,12-9,10-5,20-21,1-4,10-6,7-8,8-9,6-4,5-9,5-0
19,New York Knicks,37-45,17-24,20-21,22-30,15-15,5-11,8-10,9-9,2-8,6-4,7-3,25-34,12-11,5-6,19-23,5-1,6-9,6-9,7-8,1-9,9-7,3-2
20,New Orleans Pelicans,36-46,19-22,17-24,11-19,25-27,2-8,6-4,3-7,9-9,10-8,6-10,23-36,13-10,4-3,23-30,1-6,5-11,7-5,5-10,7-4,8-7,3-3
21,Washington Wizards,35-47,21-20,14-27,24-28,11-19,8-10,9-9,7-9,5-5,2-8,4-6,27-31,8-16,12-6,11-27,5-1,8-7,5-9,5-9,4-7,6-10,2-4
22,San Antonio Spurs,34-48,16-25,18-23,10-20,24-28,2-8,3-7,5-5,11-7,7-11,6-10,23-36,11-12,6-5,19-24,2-4,4-9,8-7,5-12,5-6,7-7,3-3
23,Los Angeles Lakers,33-49,21-20,12-29,15-15,18-34,4-6,5-5,6-4,8-10,3-13,7-11,27-31,6-18,5-7,13-22,4-3,8-8,6-8,6-8,3-6,4-12,2-4
24,Sacramento Kings,30-52,16-25,14-27,10-20,20-32,1-9,3-7,6-4,6-12,6-10,8-10,22-38,8-14,7-8,11-30,3-3,5-11,7-8,3-12,5-6,5-9,2-3
25,Portland Trail Blazers,27-55,17-24,10-31,16-14,11-41,6-4,5-5,5-5,1-15,5-13,5-13,25-34,2-21,1-5,11-41,3-3,8-8,2-11,8-8,4-6,2-13,0-6
26,Indiana Pacers,25-57,16-25,9-32,11-41,14-16,5-13,2-14,4-14,4-6,4-6,6-4,20-40,5-17,3-14,14-19,1-6,8-8,5-8,5-11,2-9,4-10,0-5
27,Oklahoma City Thunder,24-58,12-29,12-29,7-23,17-35,4-6,2-8,1-9,6-10,5-13,6-12,18-40,6-18,7-6,9-32,1-5,5-9,7-8,2-12,4-8,3-12,2-4
28,Detroit Pistons,23-59,13-28,10-31,18-34,5-25,5-13,6-10,7-11,2-8,1-9,2-8,13-45,10-14,7-6,6-33,1-5,3-12,1-11,7-9,3-9,6-10,2-3
29,Orlando Magic,22-60,12-29,10-31,12-40,10-20,4-14,5-13,3-13,6-4,1-9,3-7,13-47,9-13,2-7,6-39,1-6,3-12,3-11,4-11,4-7,5-10,2-3
30,Houston Rockets,20-62,11-30,9-32,9-21,11-41,1-9,3-7,5-5,6-12,2-16,3-13,15-43,5-19,3-9,9-44,1-5,3-11,6-10,4-10,1-9,5-12,0-5
